city;count;lat;lng
Orsk (Орскъ)                      ;1;51.2053;58.57
Oryol (Орѣлъ)                     ;0;             ;           
Parnu (Перновъ)                   ;1;58.3851;24.4965
Pavlovsky Posad                   ;1;55.7818;38.6496
Penza (Пенза)                     ;3;53.1955;45.0183
Perm (Пермь)                      ;3;58.0105;56.2502
Petrokov (Piotrków Trybunalski)   ;1;51.4082;19.696
Plock (Płock)                     ;1;52.546;19.7065
Polotsk (Полоцкъ)                 ;2;55.4875;28.7856
Poltava (Полтава)                 ;7;49.5883;34.5514
Poti (Поти)                       ;1;42.1485;41.6725
Pravotorovka                      ;1;             ;           
Prokhladny (Прохладная)           ;1;43.755;44.025
Pulawy (Ново Александрія)         ;1;51.4155;21.9692
Radom (Радомъ)                    ;1;51.4027;21.1471
Riga (Рига)                       ;18;56.9496;24.1052
Rivne (Ровно)                     ;3;50.6199;26.2516
Roslavl (Рославль)                ;1;53.9501;32.8555
Rostov Veliky (Ростовъ Ярославскій);1;57.1874;39.4169
Rostov-on-Don (Ростовъ н/Д)       ;15;47.222;39.7203
Rybinsk (Рыбинскъ)                ;2;58.0488;38.8582
Rzhev (Ржевъ)                     ;2;56.26;34.33
Ryazan (Рязань)                   ;1;54.6269;39.7439
Saint Petersburg (С.-Петербургъ)  ;28;59.9343;30.3351
Samara (Самара)                   ;2;53.1959;50.1002
Saratov (Саратовъ)                ;6;51.5335;46.0343
Serpukhov (Сѣрпуховъ)             ;1;54.9176;37.4029
Sevastopol (Севастополь)          ;5;44.6166;33.5254
Sharya (Шарья)                    ;1;58.3698;45.5101
Simferopol (Симферополь)          ;4;44.9484;34.1022
Simbirsk (Ulyanovsk)              ;2;54.3142;48.4036
Slavuta (Славута)                 ;1;50.2988;26.8712
Smila (Смѣла)                     ;4;49.2268;31.8716
Smolensk (Смоленскъ)              ;2;54.7823;32.0405
Snovsk (Сновскъ)                  ;1;51.8211;31.9353
Sosnowiec (Сосновицы)             ;3;50.286;19.103
Starodub (Стародубъ)              ;1;52.579;32.7661
Stavropol (Ставрополь)            ;3;45.0428;41.973
Sterlitamak (Стерлитамакъ)        ;1;53.6268;55.9619
Sumy (Сумы)                       ;2;50.9077;34.7981
Tabriz (Тавризъ)                  ;2;38.0791;46.2832
Taganrog (Таганрогъ)              ;1;47.236;38.8977
Tallinn (Ревель)                  ;1;59.437;24.7536
Tartu (Юрьевъ)                    ;1;58.3759;26.729
Tashkent (Ташкенть)               ;9;41.2995;69.2401
Tbilisi (Тифлисъ)                 ;7;41.7151;44.8271
